tipo_unidade;nome_oficial;rpa;distrito_sanitario;microregiao;cnes;cod_nat;tipo_servico;endereço;bairro;fone;especialidade;como_usar;horario;ordem;latitude;longitude
1|Academia da Cidade;Academia da Cidade Pólo 13 de Maio;1;1;1.1;6865003;Própria;Pólo de Academia da Cidade;Praça 13 de Maio;Santo Amaro;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.001;-8.05665819351;-34.8801983462
1|Academia da Cidade;Academia da Cidade Pólo ABC;5;5;5.1;7172869;Própria;Pólo de Academia da Cidade;Av Manoel Goncalves da Luz;Mustardinha;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.002;-8.07335931705;-34.9186726007
1|Academia da Cidade;Academia da Cidade Pólo Alto do Capitão;2;2;2.3;6664237;Própria;Pólo de Academia da Cidade;Rua Tupiracaba, S/N;Dois Unidos;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.003;-7.99964346254;-34.9137745743
1|Academia da Cidade;Academia da Cidade Pólo Avenida do Forte;4;4;4.1;6664660;Própria;Pólo de Academia da Cidade;Praça da Av do Forte;Cordeiro;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.004;-8.05745822424;-34.9312150876
1|Academia da Cidade;Academia da Cidade Pólo Beira Rio;4;4;4.1;6664679;Própria;Pólo de Academia da Cidade;Av Beira Rio, S/N;Torre;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.005;-8.04611821551;-34.904013158
1|Academia da Cidade;Academia da Cidade Pólo Boa Viagem;6;6;6.3;6664911;Própria;Pólo de Academia da Cidade;Segundo Jardim de Boa Viagem;Boa Viagem;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.006;-8.10607218691;-34.8869433427
1|Academia da Cidade;Academia da Cidade Pólo Brasilia Teimosa;6;6;6.1;6665012;Própria;Pólo de Academia da Cidade;Av Brasília Formosa, S/N;Brasília Teimosa;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.007;-8.08135223168;-34.87701024
1|Academia da Cidade;Academia da Cidade Pólo Buriti;3;7;7.3;7018339;Própria;Pólo de Academia da Cidade;Av Norte, S/N;Macaxeira;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.008;-8.01674267147;-34.929314827
1|Academia da Cidade;Academia da Cidade Pólo Cafesópolis;6;6;6.2;7018525;Própria;Pólo de Academia da Cidade;Rua Cafesopolis, S/N;Imbiribeira;33553820/2812;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.009;-8.10002308772;-34.9088189256
1|Academia da Cidade;Academia da Cidade Pólo Cavouco;4;4;4.1;7626118;Própria;Pólo de Academia da Cidade;Av Alvares Pereira de Lira;Iputinga;33552820;Prática de Atividades Físicas, Lazer e Orientação para Hábitos Saudáveis, Potencializando a Utilização Dos Espaços Públicos e Estimulando o Protagonismo Social.;O acesso aos serviços pode ser por encaminhamento de uma unidade de saúde ou de forma voluntária, sem pré-requisito para participar das aulas. As informações dos alunos serão levantadas durante o processo de Avaliação Física.;Segunda à sexta das 05:30 às 11:30 e das 14:00 às 20:00. Atividades no pólo acontecem das 05:30 às 08:30 e das 17:00 às 20:00.;01.00.00.010;-8.04533316727;-34.9314504727
